fondo,2025-05-30,2025-06-30,2025-07-31,2025-08-29,2025-09-30,2025-10-31,2025-11-28,2025-12-30,2026-01-30,2026-02-27,2026-03-31
Alpha Mega - Clase K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cima Renta Variable - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cima Renta Variable - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cima Renta Variable - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Compass Crecimiento - Clase A,6.9026,-12.6918,17.5379,-14.079,-11.1597,63.6421,1.4622,1.5622,5.3716,-16.901,12.3967
Compass Crecimiento - Clase B,7.0339,-12.5895,17.6975,-13.973,-11.0389,63.8651,1.5694,1.6829,5.5092,-16.808,12.5365
Compass Crecimiento - Clase C,7.1127,-12.5281,17.7932,-13.9094,-10.9661,63.9989,1.6337,1.7553,5.5918,-16.7522,12.6204
Compass Crecimiento - Clase H Ley 27.743,6.9025,-12.6918,17.5382,-14.0789,-11.1596,63.6423,1.4622,1.5621,5.3711,-16.901,12.3968
Compass Crecimiento - Clase I Ley 27.743,7.034,-12.5896,17.6976,-13.9729,-11.0388,63.8653,1.5693,1.683,5.7099,-16.6498,12.7744
Consultatio Acciones Argentina - Clase A,7.1355,-12.3582,15.9818,-14.7606,-11.553,68.7808,0.3241,1.9612,5.2199,-17.0814,12.2645
Consultatio Acciones Argentina - Clase B,7.2456,-12.2651,16.105,-14.6759,-11.456,68.9601,0.4204,2.073,5.3316,-17.0018,12.3876
Consultatio Acciones Argentina - Clase C,7.2809,-12.2352,16.1444,-14.6488,-11.4249,69.0175,0.4512,2.1088,5.3674,-16.9763,12.4271
Consultatio Acciones Argentina - Clase Z Ley N° 27.743,7.2455,-12.2651,16.1051,-14.6759,-11.4561,68.96,0.4203,2.0731,5.466,-16.867,12.5962
Delta Select - Clase A,6.7005,-12.3786,15.9044,-14.943,-12.5696,68.8787,0.3182,1.8974,4.3217,-17.0439,12.1463
Delta Select - Clase B,6.8937,-12.2147,16.1212,-14.7942,-12.4007,69.1946,0.4877,2.0942,4.5169,-16.9037,12.3629
FBA Acciones Argentinas - Clase A,7.2079,-12.5155,16.3024,-14.4188,-10.7841,67.2562,-0.6133,0.2767,4.4358,-16.6412,13.0915
FBA Acciones Argentinas - Clase B,7.343,-12.4016,16.4538,-14.3146,-10.6642,67.4739,-0.4964,0.4115,4.5717,-16.5432,13.2435
FBA Acciones Argentinas - Clase J Ley N° 27.743,7.2079,-12.5155,16.3024,-14.4188,-10.7841,67.2562,-0.6133,0.2767,4.4358,-16.6412,13.0915
FBA Acciones Argentinas - Clase K Ley N° 27.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fima Acciones - Clase A,8.895,-13.0543,15.2022,-14.8854,-12.3241,66.9938,1.3509,0.7216,3.6982,-17.7907,12.0368
Fima Acciones - Clase B,9.004,-12.9643,15.3214,-14.803,-12.2305,67.1666,1.4457,0.8292,3.8055,-17.7138,12.1565
Galileo Acciones - Clase A,9.2814,-9.5535,15.2099,-14.216,-8.9726,54.402,1.394,1.0032,6.8485,-12.6123,15.8807
Galileo Acciones - Clase B,9.421,-9.4417,15.357,-14.1064,-8.8601,54.5992,1.5194,1.1322,6.985,-12.5115,16.0287
HF Acciones Argentinas Cash Lecaps D.596 - Clase I,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Optimum Renta Variable III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Optimum Renta Variable III - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schroder Renta Variable - Clase A,9.6845,-11.5314,17.9726,-13.1803,-10.1075,61.7065,0.1426,1.1876,3.913,-16.9759,13.0873
Schroder Renta Variable - Clase B,9.7749,-11.456,18.073,-13.1111,-10.0285,61.8442,0.2196,1.2766,4.0015,-16.912,13.1867
Schroder Renta Variable - Clase C,9.7071,-11.5125,17.9977,-13.163,-10.0877,61.7409,0.1618,1.2099,3.9351,-16.9599,13.1121
Schroder Renta Variable - Clase D,9.8092,-11.4274,18.1112,-13.0849,-9.9984,61.8965,0.2488,1.3104,4.0351,-16.8877,13.2245
Schroder Renta Variable - Clase E Ley 27.743,9.6846,-11.5313,17.9729,-13.1803,-10.1072,61.7067,0.1425,1.1877,3.9127,-16.9758,13.0872
Alpha Mega - Clase R Art. 11 Decreto 99/2019 y mod,-1.1792,0.0,-12.1718,0.0,-9.2391,1.3473,0.0,-0.2954,1.4815,2.7737,-0.142
Compass Crecimiento - Clase D,6.5683,-13.4979,4.8723,-14.0032,-21.5657,67.7784,0.1861,1.5154,6.6275,-14.7099,11.8846
Compass Crecimiento - Clase E,6.922,-13.2242,5.2567,-13.7166,-21.2773,68.3959,0.4719,1.8413,7.0037,-14.4521,12.2604
Compass Crecimiento - Clase F,6.7778,-13.3357,5.1,-13.8334,-21.3948,68.1441,0.3555,1.7085,6.8504,-14.5572,12.1072
Delta Select - Clase F,6.367,-13.1878,3.4144,-14.8682,-22.8112,73.1468,-0.9438,1.8844,5.608,-14.855,11.6164
Delta Select - Clase G,-0.3124,-0.9243,-10.7748,0.0886,-11.7147,2.5271,-1.2559,-0.0475,1.1932,2.6363,-0.4542
Galileo Acciones - Clase C,8.4965,-10.3515,2.8386,-14.1036,-19.602,58.3721,4.9217,0.8028,7.4851,-9.45,17.1887
Galileo Acciones - Clase D,-0.7854,-0.9047,-10.7846,0.0959,-11.7252,2.5335,3.4239,-0.2389,0.5816,3.5714,1.0837
Delta Acciones - Clase A,7.1232,-11.9364,15.4451,-15.0935,-12.1686,66.7681,-0.0126,1.8017,4.334,-17.3152,12.1042
Delta Acciones - Clase B,7.2466,-11.8316,15.5825,-14.999,-12.0607,66.9665,0.0949,1.9267,4.4582,-17.2264,12.2419
Delta Acciones - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delta Acciones - Clase K Ley Nº 27.743,7.1233,-11.9364,15.4453,-15.0937,-12.1686,66.768,-0.0126,1.8016,4.334,-17.3153,12.1043
Delta Acciones - Clase L Ley Nº 27.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pionero Acciones Argentinas - Clase A,7.3502,-12.4115,15.677,-15.3827,-12.6357,64.0476,-0.6076,1.2855,4.6505,-17.3349,
Pionero Acciones Argentinas - Clase B,7.4962,-12.2884,15.8396,-15.2714,-12.5089,64.2781,-0.4815,1.4324,4.7976,-17.23,
Delta Acciones - Clase F,6.788,-12.7494,3.0052,-15.0186,-22.4564,70.9837,-1.2699,-0.9179,1.192,2.6367,-0.4556
Delta Acciones - Clase G,-0.3133,-0.9212,-10.7763,0.0875,-11.712,2.5256,-1.2558,-0.0459,1.1898,2.6388,-0.4565
Delta Acciones - Clase I,-1.2536,0.0977,-12.1951,0.0,-9.2222,1.3464,0.0,-0.3623,1.4545,2.8674,-0.2323
1822 Raices Valores Negociables,7.6077,-12.5022,15.9605,-14.7887,-11.5921,68.724,0.4906,1.1023,4.6465,-17.463,12.8185
Allaria Acciones - Clase A,7.7792,-12.6227,15.7482,-15.123,-10.9668,66.5728,0.5369,0.9858,4.8693,-17.2169,13.2362
Allaria Acciones - Clase B,7.8962,-12.5247,15.8781,-15.0339,-10.8637,66.7597,0.6387,1.1028,4.987,-17.133,13.3674
Allaria Acciones - Clase Ley Nº 27.743,7.779,-12.6227,15.7481,-15.123,-10.9669,66.5728,0.5369,0.9857,2.466,0.0,0.0
Alpha Acciones - Clase A,6.6725,-12.7008,15.9493,-14.3652,-10.6437,66.8871,0.7678,0.9257,4.42,-16.8946,13.4793
Alpha Acciones - Clase B,6.3944,-12.9359,15.637,-14.581,-10.8922,66.4376,0.5226,0.645,4.1444,-17.0551,13.2288
Alpha Acciones - Clase C,6.3944,-12.9359,15.637,-14.581,-10.8922,66.4375,0.5226,0.6451,4.1408,-17.0822,13.1866
Alpha Acciones - Clase D,-1.378,0.0,-12.1756,0.2273,-9.2971,1.25,0.0,-0.2469,1.4851,2.6829,0.0
Alpha Acciones - Clase E,5.0615,-12.8928,1.5072,-14.5005,-19.1469,68.6259,0.5863,0.302,5.6577,-14.7793,13.0126
Alpha Acciones - Clase I,-1.1952,0.0,-12.2984,0.2299,-9.4037,1.2658,0.25,-0.4988,1.5038,2.716,0.0
Alpha Acciones - Clase J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpha Acciones - Clase K,6.3944,-12.9359,15.637,-14.581,-10.8921,66.4376,0.5226,0.645,4.1444,-17.0551,13.2288
